Test Description,Passed,Reason
Check existence of `r1`,True,OK
Check existence of `r2`,True,OK
Check existence of `r3`,True,OK
Check existence of `r4`,True,OK
Check existence of `pc11`,True,OK
Check existence of `pc12`,True,OK
Check existence of `pc21`,True,OK
Check existence of `pc22`,True,OK
Check existence of `pc31`,True,OK
Check existence of `pc32`,True,OK
Check existence of `pc41`,True,OK
Check existence of `pc42`,True,OK
Checking the collision domain attached to interface `eth0` of `r1`,True,OK
Checking the collision domain attached to interface `eth1` of `r1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2`,True,OK
Checking the collision domain attached to interface `eth1` of `r2`,True,OK
Checking the collision domain attached to interface `eth2` of `r2`,True,OK
Checking the collision domain attached to interface `eth0` of `r3`,True,OK
Checking the collision domain attached to interface `eth1` of `r3`,True,OK
Checking the collision domain attached to interface `eth2` of `r3`,True,OK
Checking the collision domain attached to interface `eth0` of `r4`,True,OK
Checking the collision domain attached to interface `eth1` of `r4`,True,OK
Checking the collision domain attached to interface `eth0` of `pc11`,True,OK
Checking the collision domain attached to interface `eth0` of `pc12`,True,OK
Checking the collision domain attached to interface `eth0` of `pc21`,True,OK
Checking the collision domain attached to interface `eth0` of `pc22`,True,OK
Checking the collision domain attached to interface `eth0` of `pc31`,True,OK
Checking the collision domain attached to interface `eth0` of `pc32`,True,OK
Checking the collision domain attached to interface `eth0` of `pc41`,True,OK
Checking the collision domain attached to interface `eth0` of `pc42`,True,OK
Check existence of `r1.startup` file,True,OK
Check existence of `r2.startup` file,True,OK
Check existence of `r3.startup` file,True,OK
Check existence of `r4.startup` file,True,OK
Check existence of `pc11.startup` file,True,OK
Check existence of `pc12.startup` file,True,OK
Check existence of `pc21.startup` file,True,OK
Check existence of `pc22.startup` file,True,OK
Check existence of `pc31.startup` file,True,OK
Check existence of `pc32.startup` file,True,OK
Check existence of `pc41.startup` file,True,OK
Check existence of `pc42.startup` file,True,OK
Verifying the IP address (192.168.10.1/24) assigned to eth0 of r1,False,The interface `eth0` of `r1` has the following IP addresses: []`.
Verifying the IP address (10.0.12.1/30) assigned to eth1 of r1,False,The interface `eth1` of `r1` has the following IP addresses: []`.
Verifying the IP address (192.168.20.1/24) assigned to eth0 of r2,False,The interface `eth0` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.0.12.2/30) assigned to eth1 of r2,False,The interface `eth1` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.0.23.1/30) assigned to eth2 of r2,False,The interface `eth2` of `r2` has the following IP addresses: []`.
Verifying the IP address (192.168.30.1/24) assigned to eth0 of r3,False,The interface `eth0` of `r3` has the following IP addresses: []`.
