Test Description,Passed,Reason
Verifying the IP address (192.168.10.1/24) assigned to eth0 of r1,False,The interface `eth0` of `r1` has the following IP addresses: []`.
Verifying the IP address (10.0.12.1/30) assigned to eth1 of r1,False,The interface `eth1` of `r1` has the following IP addresses: []`.
Verifying the IP address (192.168.20.1/24) assigned to eth0 of r2,False,The interface `eth0` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.0.12.2/30) assigned to eth1 of r2,False,The interface `eth1` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.0.23.1/30) assigned to eth2 of r2,False,The interface `eth2` of `r2` has the following IP addresses: []`.
Verifying the IP address (192.168.30.1/24) assigned to eth0 of r3,False,The interface `eth0` of `r3` has the following IP addresses: []`.
Verifying the IP address (10.0.23.2/30) assigned to eth1 of r3,False,The interface `eth1` of `r3` has the following IP addresses: []`.
Verifying the IP address (10.0.34.1/30) assigned to eth2 of r3,False,The interface `eth2` of `r3` has the following IP addresses: []`.
Verifying the IP address (192.168.40.1/24) assigned to eth0 of r4,False,The interface `eth0` of `r4` has the following IP addresses: []`.
Verifying the IP address (10.0.34.2/30) assigned to eth1 of r4,False,The interface `eth1` of `r4` has the following IP addresses: []`.
Verifying `192.168.20.11` reachable from device `pc11`,False,`pc11` does not receive any answer from `192.168.20.11`.
Verifying `192.168.20.12` reachable from device `pc11`,False,`pc11` does not receive any answer from `192.168.20.12`.
Verifying `192.168.30.11` reachable from device `pc11`,False,`pc11` does not receive any answer from `192.168.30.11`.
Verifying `192.168.30.12` reachable from device `pc11`,False,`pc11` does not receive any answer from `192.168.30.12`.
Verifying `192.168.40.11` reachable from device `pc11`,False,`pc11` does not receive any answer from `192.168.40.11`.
Verifying `192.168.40.12` reachable from device `pc11`,False,`pc11` does not receive any answer from `192.168.40.12`.
Verifying `192.168.20.11` reachable from device `pc12`,False,`pc12` does not receive any answer from `192.168.20.11`.
Verifying `192.168.20.12` reachable from device `pc12`,False,`pc12` does not receive any answer from `192.168.20.12`.
Verifying `192.168.30.11` reachable from device `pc12`,False,`pc12` does not receive any answer from `192.168.30.11`.
Verifying `192.168.30.12` reachable from device `pc12`,False,`pc12` does not receive any answer from `192.168.30.12`.
Verifying `192.168.40.11` reachable from device `pc12`,False,`pc12` does not receive any answer from `192.168.40.11`.
Verifying `192.168.40.12` reachable from device `pc12`,False,`pc12` does not receive any answer from `192.168.40.12`.
Verifying `192.168.10.11` reachable from device `pc21`,False,`pc21` does not receive any answer from `192.168.10.11`.
Verifying `192.168.10.12` reachable from device `pc21`,False,`pc21` does not receive any answer from `192.168.10.12`.
Verifying `192.168.30.11` reachable from device `pc21`,False,`pc21` does not receive any answer from `192.168.30.11`.
Verifying `192.168.30.12` reachable from device `pc21`,False,`pc21` does not receive any answer from `192.168.30.12`.
Verifying `192.168.40.11` reachable from device `pc21`,False,`pc21` does not receive any answer from `192.168.40.11`.
Verifying `192.168.40.12` reachable from device `pc21`,False,`pc21` does not receive any answer from `192.168.40.12`.
Verifying `192.168.10.11` reachable from device `pc22`,False,`pc22` does not receive any answer from `192.168.10.11`.
Verifying `192.168.10.12` reachable from device `pc22`,False,`pc22` does not receive any answer from `192.168.10.12`.
Verifying `192.168.30.11` reachable from device `pc22`,False,`pc22` does not receive any answer from `192.168.30.11`.
Verifying `192.168.30.12` reachable from device `pc22`,False,`pc22` does not receive any answer from `192.168.30.12`.
