Test Description,Passed,Reason
Check existence of `r1`,True,OK
Check existence of `r2`,True,OK
Check existence of `pc1`,True,OK
Check existence of `pc2`,True,OK
Check existence of `pc3`,True,OK
Check existence of `pc4`,True,OK
Checking the collision domain attached to interface `eth0` of `r1`,True,OK
Checking the collision domain attached to interface `eth1` of `r1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2`,True,OK
Checking the collision domain attached to interface `eth1` of `r2`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2`,True,OK
Checking the collision domain attached to interface `eth0` of `pc3`,True,OK
Checking the collision domain attached to interface `eth0` of `pc4`,True,OK
Check existence of `r1.startup` file,True,OK
Check existence of `r2.startup` file,True,OK
Check existence of `pc1.startup` file,True,OK
Check existence of `pc2.startup` file,True,OK
Check existence of `pc3.startup` file,True,OK
Check existence of `pc4.startup` file,True,OK
Verifying the IP address (192.0.2.1/24) assigned to eth0 of r1,True,OK
Verifying the IP address (198.51.100.1/30) assigned to eth1 of r1,True,OK
Verifying the IP address (198.51.100.2/30) assigned to eth0 of r2,True,OK
Verifying the IP address (203.0.113.1/24) assigned to eth1 of r2,True,OK
Verifying the IP address (192.0.2.11/24) assigned to eth0 of pc1,True,OK
Verifying the IP address (192.0.2.12/24) assigned to eth0 of pc2,True,OK
Verifying the IP address (203.0.113.11/24) assigned to eth0 of pc3,True,OK
Verifying the IP address (203.0.113.12/24) assigned to eth0 of pc4,True,OK
Verifying `192.0.2.12` reachable from device `pc1`,True,OK
Verifying `203.0.113.11` reachable from device `pc1`,True,OK
Verifying `203.0.113.12` reachable from device `pc1`,True,OK
Verifying `192.0.2.11` reachable from device `pc2`,True,OK
Verifying `203.0.113.11` reachable from device `pc2`,True,OK
Verifying `203.0.113.12` reachable from device `pc2`,True,OK
Verifying `192.0.2.11` reachable from device `pc3`,True,OK
Verifying `192.0.2.12` reachable from device `pc3`,True,OK
Verifying `203.0.113.12` reachable from device `pc3`,True,OK
Verifying `192.0.2.11` reachable from device `pc4`,True,OK
Verifying `192.0.2.12` reachable from device `pc4`,True,OK
Verifying `203.0.113.11` reachable from device `pc4`,True,OK
Checking that bgpd is not running on device `r1`,True,OK
Checking that ripd is not running on device `r1`,True,OK
Checking that ospfd is not running on device `r1`,True,OK
Checking that ospf6d is not running on device `r1`,True,OK
Checking that bgpd is not running on device `r2`,True,OK
Checking that ripd is not running on device `r2`,True,OK
Checking that ospfd is not running on device `r2`,True,OK
Checking that ospf6d is not running on device `r2`,True,OK
Checking that bgpd is not running on device `pc1`,True,OK
Checking that ripd is not running on device `pc1`,True,OK
Checking that ospfd is not running on device `pc1`,True,OK
