Test Description,Passed,Reason
Check existence of `r1`,True,OK
Check existence of `r2`,True,OK
Check existence of `r3`,True,OK
Check existence of `pc1`,True,OK
Check existence of `pc2`,True,OK
Check existence of `pc3`,True,OK
Check existence of `pc4`,True,OK
Check existence of `pc5`,True,OK
Check existence of `pc6`,True,OK
Check existence of `pc7`,True,OK
Check existence of `pc8`,True,OK
Check existence of `pc9`,True,OK
Checking the collision domain attached to interface `eth0` of `r1`,True,OK
Checking the collision domain attached to interface `eth1` of `r1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2`,True,OK
Checking the collision domain attached to interface `eth1` of `r2`,True,OK
Checking the collision domain attached to interface `eth2` of `r2`,True,OK
Checking the collision domain attached to interface `eth0` of `r3`,True,OK
Checking the collision domain attached to interface `eth1` of `r3`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2`,True,OK
Checking the collision domain attached to interface `eth0` of `pc3`,True,OK
Checking the collision domain attached to interface `eth0` of `pc4`,True,OK
Checking the collision domain attached to interface `eth0` of `pc5`,True,OK
Checking the collision domain attached to interface `eth0` of `pc6`,True,OK
Checking the collision domain attached to interface `eth0` of `pc7`,True,OK
Checking the collision domain attached to interface `eth0` of `pc8`,True,OK
Checking the collision domain attached to interface `eth0` of `pc9`,True,OK
Check existence of `r1.startup` file,True,OK
Check existence of `r2.startup` file,True,OK
Check existence of `r3.startup` file,True,OK
Check existence of `pc1.startup` file,True,OK
Check existence of `pc2.startup` file,True,OK
Check existence of `pc3.startup` file,True,OK
Check existence of `pc4.startup` file,True,OK
Check existence of `pc5.startup` file,True,OK
Check existence of `pc6.startup` file,True,OK
Check existence of `pc7.startup` file,True,OK
Check existence of `pc8.startup` file,True,OK
Check existence of `pc9.startup` file,True,OK
Verifying the IP address (10.10.1.1/24) assigned to eth0 of r1,False,The interface `eth0` of `r1` has the following IP addresses: []`.
Verifying the IP address (10.255.12.1/30) assigned to eth1 of r1,False,The interface `eth1` of `r1` has the following IP addresses: []`.
Verifying the IP address (10.255.12.2/30) assigned to eth0 of r2,False,The interface `eth0` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.255.23.1/30) assigned to eth1 of r2,False,The interface `eth1` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.10.2.1/24) assigned to eth2 of r2,False,The interface `eth2` of `r2` has the following IP addresses: []`.
Verifying the IP address (10.255.23.2/30) assigned to eth0 of r3,False,The interface `eth0` of `r3` has the following IP addresses: []`.
Verifying the IP address (10.10.3.1/24) assigned to eth1 of r3,False,The interface `eth1` of `r3` has the following IP addresses: []`.
Verifying the IP address (10.10.1.11/24) assigned to eth0 of pc1,True,OK
