Test Description,Passed,Reason
Check existence of `r1`,True,OK
Check existence of `r2`,True,OK
Check existence of `r3`,True,OK
Check existence of `r4`,True,OK
Check existence of `r5`,True,OK
Check existence of `r6`,True,OK
Check existence of `client`,True,OK
Check existence of `localdns`,True,OK
Check existence of `rootdns`,True,OK
Check existence of `authdns`,True,OK
Check existence of `web`,True,OK
Check existence of `r2pc1`,True,OK
Check existence of `r2pc2`,True,OK
Check existence of `r5pc1`,True,OK
Check existence of `r5pc2`,True,OK
Check existence of `r6pc1`,True,OK
Check existence of `r6pc2`,True,OK
Checking the collision domain attached to interface `eth0` of `r1`,True,OK
Checking the collision domain attached to interface `eth1` of `r1`,True,OK
Checking the collision domain attached to interface `eth2` of `r1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2`,True,OK
Checking the collision domain attached to interface `eth1` of `r2`,True,OK
Checking the collision domain attached to interface `eth2` of `r2`,True,OK
Checking the collision domain attached to interface `eth0` of `r3`,True,OK
Checking the collision domain attached to interface `eth1` of `r3`,True,OK
Checking the collision domain attached to interface `eth2` of `r3`,True,OK
Checking the collision domain attached to interface `eth3` of `r3`,True,OK
Checking the collision domain attached to interface `eth0` of `r4`,True,OK
Checking the collision domain attached to interface `eth1` of `r4`,True,OK
Checking the collision domain attached to interface `eth2` of `r4`,True,OK
Checking the collision domain attached to interface `eth3` of `r4`,True,OK
Checking the collision domain attached to interface `eth0` of `r5`,True,OK
Checking the collision domain attached to interface `eth1` of `r5`,True,OK
Checking the collision domain attached to interface `eth2` of `r5`,True,OK
Checking the collision domain attached to interface `eth0` of `r6`,True,OK
Checking the collision domain attached to interface `eth1` of `r6`,True,OK
Checking the collision domain attached to interface `eth2` of `r6`,True,OK
Checking the collision domain attached to interface `eth0` of `client`,True,OK
Checking the collision domain attached to interface `eth0` of `localdns`,True,OK
Checking the collision domain attached to interface `eth0` of `rootdns`,True,OK
Checking the collision domain attached to interface `eth0` of `authdns`,True,OK
Checking the collision domain attached to interface `eth0` of `web`,True,OK
Checking the collision domain attached to interface `eth0` of `r2pc1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2pc2`,True,OK
Checking the collision domain attached to interface `eth0` of `r5pc1`,True,OK
Checking the collision domain attached to interface `eth0` of `r5pc2`,True,OK
Checking the collision domain attached to interface `eth0` of `r6pc1`,True,OK
Checking the collision domain attached to interface `eth0` of `r6pc2`,True,OK
Check existence of `r1.startup` file,True,OK
Check existence of `r2.startup` file,True,OK
Check existence of `r3.startup` file,True,OK
Check existence of `r4.startup` file,True,OK
Check existence of `r5.startup` file,True,OK
Check existence of `r6.startup` file,True,OK
Check existence of `client.startup` file,True,OK
Check existence of `localdns.startup` file,True,OK
