Test Description,Passed,Reason
Check existence of `r1`,True,OK
Check existence of `r2`,True,OK
Check existence of `r3`,True,OK
Check existence of `client`,True,OK
Check existence of `dns`,True,OK
Check existence of `web`,True,OK
Check existence of `pc1`,True,OK
Check existence of `pc2`,True,OK
Checking the collision domain attached to interface `eth0` of `r1`,True,OK
Checking the collision domain attached to interface `eth1` of `r1`,True,OK
Checking the collision domain attached to interface `eth2` of `r1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2`,True,OK
Checking the collision domain attached to interface `eth1` of `r2`,True,OK
Checking the collision domain attached to interface `eth2` of `r2`,True,OK
Checking the collision domain attached to interface `eth0` of `r3`,True,OK
Checking the collision domain attached to interface `eth1` of `r3`,True,OK
Checking the collision domain attached to interface `eth2` of `r3`,True,OK
Checking the collision domain attached to interface `eth0` of `client`,True,OK
Checking the collision domain attached to interface `eth0` of `dns`,True,OK
Checking the collision domain attached to interface `eth0` of `web`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2`,True,OK
Check existence of `r1.startup` file,True,OK
Check existence of `r2.startup` file,True,OK
Check existence of `r3.startup` file,True,OK
Check existence of `client.startup` file,True,OK
Check existence of `dns.startup` file,True,OK
Check existence of `web.startup` file,True,OK
Check existence of `pc1.startup` file,True,OK
Check existence of `pc2.startup` file,True,OK
Verifying the IP address (10.0.12.1/30) assigned to eth0 of r1,True,OK
Verifying the IP address (10.0.13.1/30) assigned to eth1 of r1,True,OK
Verifying the IP address (192.168.10.1/24) assigned to eth2 of r1,True,OK
Verifying the IP address (10.0.12.2/30) assigned to eth0 of r2,True,OK
Verifying the IP address (10.0.23.1/30) assigned to eth1 of r2,True,OK
Verifying the IP address (192.168.20.1/24) assigned to eth2 of r2,True,OK
Verifying the IP address (10.0.13.2/30) assigned to eth0 of r3,True,OK
Verifying the IP address (10.0.23.2/30) assigned to eth1 of r3,True,OK
Verifying the IP address (192.168.30.1/24) assigned to eth2 of r3,True,OK
Verifying the IP address (192.168.10.10/24) assigned to eth0 of client,True,OK
Verifying the IP address (192.168.10.53/24) assigned to eth0 of dns,True,OK
Verifying the IP address (192.168.20.80/24) assigned to eth0 of web,True,OK
Verifying the IP address (192.168.30.10/24) assigned to eth0 of pc1,True,OK
Verifying the IP address (192.168.30.11/24) assigned to eth0 of pc2,True,OK
Verifying `company.test` reachable from device `client`,True,OK
Verifying `192.168.20.80` reachable from device `client`,True,OK
Checking that named is running on device `dns`,True,OK
Checking that apache2 is running on device `web`,True,OK
Checking the routing table of r1,True,OK
Checking the routing table of r2,True,OK
Checking the routing table of r3,True,OK
Checking the routing table of client,True,OK
Checking the routing table of dns,True,OK
