Test Description,Passed,Reason
Check existence of `r1`,True,OK
Check existence of `r2`,True,OK
Check existence of `r3`,True,OK
Check existence of `r4`,True,OK
Check existence of `pc1a`,True,OK
Check existence of `pc1b`,True,OK
Check existence of `pc2a`,True,OK
Check existence of `pc2b`,True,OK
Check existence of `pc3a`,True,OK
Check existence of `pc3b`,True,OK
Check existence of `pc4a`,True,OK
Check existence of `pc4b`,True,OK
Checking the collision domain attached to interface `eth0` of `r1`,True,OK
Checking the collision domain attached to interface `eth1` of `r1`,True,OK
Checking the collision domain attached to interface `eth2` of `r1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2`,True,OK
Checking the collision domain attached to interface `eth1` of `r2`,True,OK
Checking the collision domain attached to interface `eth2` of `r2`,True,OK
Checking the collision domain attached to interface `eth0` of `r3`,True,OK
Checking the collision domain attached to interface `eth1` of `r3`,True,OK
Checking the collision domain attached to interface `eth2` of `r3`,True,OK
Checking the collision domain attached to interface `eth0` of `r4`,True,OK
Checking the collision domain attached to interface `eth1` of `r4`,True,OK
Checking the collision domain attached to interface `eth2` of `r4`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1a`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1b`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2a`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2b`,True,OK
Checking the collision domain attached to interface `eth0` of `pc3a`,True,OK
Checking the collision domain attached to interface `eth0` of `pc3b`,True,OK
Checking the collision domain attached to interface `eth0` of `pc4a`,True,OK
Checking the collision domain attached to interface `eth0` of `pc4b`,True,OK
Check existence of `r1.startup` file,True,OK
Check existence of `r2.startup` file,True,OK
Check existence of `r3.startup` file,True,OK
Check existence of `r4.startup` file,True,OK
Check existence of `pc1a.startup` file,True,OK
Check existence of `pc1b.startup` file,True,OK
Check existence of `pc2a.startup` file,True,OK
Check existence of `pc2b.startup` file,True,OK
Check existence of `pc3a.startup` file,True,OK
Check existence of `pc3b.startup` file,True,OK
Check existence of `pc4a.startup` file,True,OK
Check existence of `pc4b.startup` file,True,OK
Verifying the IP address (10.1.1.1/24) assigned to eth0 of r1,True,OK
Verifying the IP address (10.1.12.1/30) assigned to eth1 of r1,True,OK
Verifying the IP address (10.1.41.2/30) assigned to eth2 of r1,True,OK
Verifying the IP address (10.1.2.1/24) assigned to eth0 of r2,True,OK
Verifying the IP address (10.1.23.1/30) assigned to eth1 of r2,True,OK
Verifying the IP address (10.1.12.2/30) assigned to eth2 of r2,True,OK
Verifying the IP address (10.1.3.1/24) assigned to eth0 of r3,True,OK
Verifying the IP address (10.1.34.1/30) assigned to eth1 of r3,True,OK
Verifying the IP address (10.1.23.2/30) assigned to eth2 of r3,True,OK
