Test Description,Passed,Reason
Verifying `fd00:1:1::12` reachable from device `pc1a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:2::11` reachable from device `pc1a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:2::12` reachable from device `pc1a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:3::11` reachable from device `pc1a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:3::12` reachable from device `pc1a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:4::11` reachable from device `pc1a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:4::12` reachable from device `pc1a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:1::11` reachable from device `pc1b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:2::11` reachable from device `pc1b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:2::12` reachable from device `pc1b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:3::11` reachable from device `pc1b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:3::12` reachable from device `pc1b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:4::11` reachable from device `pc1b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:4::12` reachable from device `pc1b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:1::11` reachable from device `pc2a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:1::12` reachable from device `pc2a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:2::12` reachable from device `pc2a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:3::11` reachable from device `pc2a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:3::12` reachable from device `pc2a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:4::11` reachable from device `pc2a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:4::12` reachable from device `pc2a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:1::11` reachable from device `pc2b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:1::12` reachable from device `pc2b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:2::11` reachable from device `pc2b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:3::11` reachable from device `pc2b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:3::12` reachable from device `pc2b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:4::11` reachable from device `pc2b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:4::12` reachable from device `pc2b`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:1::11` reachable from device `pc3a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:1::12` reachable from device `pc3a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:2::11` reachable from device `pc3a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:2::12` reachable from device `pc3a`,False,ping: connect: Cannot assign requested address
Verifying `fd00:1:3::12` reachable from device `pc3a`,False,ping: connect: Cannot assign requested address
