Test Description,Passed,Reason
Check existence of `r0`,True,OK
Check existence of `r1`,True,OK
Check existence of `r2`,True,OK
Check existence of `pc0`,True,OK
Check existence of `pc1`,True,OK
Check existence of `pc2`,True,OK
Checking the collision domain attached to interface `eth0` of `r0`,True,OK
Checking the collision domain attached to interface `eth1` of `r0`,True,OK
Checking the collision domain attached to interface `eth2` of `r0`,True,OK
Checking the collision domain attached to interface `eth0` of `r1`,True,OK
Checking the collision domain attached to interface `eth1` of `r1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2`,True,OK
Checking the collision domain attached to interface `eth1` of `r2`,True,OK
Checking the collision domain attached to interface `eth0` of `pc0`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2`,True,OK
Check existence of `r0.startup` file,True,OK
Check existence of `r1.startup` file,True,OK
Check existence of `r2.startup` file,True,OK
Check existence of `pc0.startup` file,True,OK
Check existence of `pc1.startup` file,True,OK
Check existence of `pc2.startup` file,True,OK
Verifying the IP address (10.0.1.1/30) assigned to eth0 of r0,True,OK
Verifying the IP address (10.0.2.1/30) assigned to eth1 of r0,True,OK
Verifying the IP address (192.168.10.1/24) assigned to eth2 of r0,True,OK
Verifying the IP address (10.0.1.2/30) assigned to eth0 of r1,True,OK
Verifying the IP address (192.168.20.1/24) assigned to eth1 of r1,True,OK
Verifying the IP address (10.0.2.2/30) assigned to eth0 of r2,True,OK
Verifying the IP address (192.168.30.1/24) assigned to eth1 of r2,True,OK
Verifying the IP address (192.168.10.10/24) assigned to eth0 of pc0,True,OK
Verifying the IP address (192.168.20.10/24) assigned to eth0 of pc1,True,OK
Verifying the IP address (192.168.30.10/24) assigned to eth0 of pc2,True,OK
Verifying `192.168.20.10` reachable from device `pc0`,True,OK
Verifying `192.168.30.10` reachable from device `pc0`,True,OK
Verifying `2001:db8:20::10` reachable from device `pc0`,False,ping: connect: Cannot assign requested address
Verifying `2001:db8:30::10` reachable from device `pc0`,False,ping: connect: Cannot assign requested address
Verifying `192.168.10.10` reachable from device `pc1`,True,OK
Verifying `192.168.30.10` reachable from device `pc1`,True,OK
Verifying `2001:db8:10::10` reachable from device `pc1`,False,ping: connect: Cannot assign requested address
Verifying `2001:db8:30::10` reachable from device `pc1`,False,ping: connect: Cannot assign requested address
Verifying `192.168.10.10` reachable from device `pc2`,True,OK
Verifying `192.168.20.10` reachable from device `pc2`,True,OK
Verifying `2001:db8:10::10` reachable from device `pc2`,False,ping: connect: Cannot assign requested address
Verifying `2001:db8:20::10` reachable from device `pc2`,False,ping: connect: Cannot assign requested address
Checking the routing table of r0,True,OK
Checking the routing table of r1,True,OK
Checking the routing table of r2,True,OK
Checking the routing table of pc0,True,OK
Checking the routing table of pc1,True,OK
Checking the routing table of pc2,True,OK
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'inet6 2001:db8:1::1/64 scope global'' on 'r0',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth1 | grep -Fq 'inet6 2001:db8:2::1/64 scope global'' on 'r0',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth2 | grep -Fq 'inet6 2001:db8:10::1/64 scope global'' on 'r0',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show 2001:db8:20::/64 | grep -Eq '^2001:db8:20::/64 via 2001:db8:1::2 dev eth0'' on 'r0',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 route show 2001:db8:30::/64 | grep -Eq '^2001:db8:30::/64 via 2001:db8:2::2 dev eth1'' on 'r0',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'inet6 2001:db8:1::2/64 scope global'' on 'r1',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth1 | grep -Fq 'inet6 2001:db8:20::1/64 scope global'' on 'r1',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Eq '^default via 2001:db8:1::1 dev eth0'' on 'r1',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'inet6 2001:db8:2::2/64 scope global'' on 'r2',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth1 | grep -Fq 'inet6 2001:db8:30::1/64 scope global'' on 'r2',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Eq '^default via 2001:db8:2::1 dev eth0'' on 'r2',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'inet6 2001:db8:10::10/64 scope global'' on 'pc0',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Eq '^default via 2001:db8:10::1 dev eth0'' on 'pc0',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'inet6 2001:db8:20::10/64 scope global'' on 'pc1',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Eq '^default via 2001:db8:20::1 dev eth0'' on 'pc1',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'inet6 2001:db8:30::10/64 scope global'' on 'pc2',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Eq '^default via 2001:db8:30::1 dev eth0'' on 'pc2',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
