Test Description,Passed,Reason
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:1::1/64'' on 'central',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth1 | grep -Fq 'fd00:0:2::1/64'' on 'central',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth2 | grep -Fq 'fd00:0:3::1/64'' on 'central',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth3 | grep -Fq 'fd00:0:10::1/64'' on 'central',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show fd00:0:101::/64 | grep -Fq 'via fd00:0:1::2'' on 'central',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 route show fd00:0:102::/64 | grep -Fq 'via fd00:0:2::2'' on 'central',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 route show fd00:0:103::/64 | grep -Fq 'via fd00:0:3::2'' on 'central',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:1::2/64'' on 'edge1',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth1 | grep -Fq 'fd00:0:101::1/64'' on 'edge1',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:1::1'' on 'edge1',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:2::2/64'' on 'edge2',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth1 | grep -Fq 'fd00:0:102::1/64'' on 'edge2',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:2::1'' on 'edge2',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:3::2/64'' on 'edge3',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth1 | grep -Fq 'fd00:0:103::1/64'' on 'edge3',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:3::1'' on 'edge3',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:10::10/64'' on 'server',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:10::1'' on 'server',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:101::11/64'' on 'e1c1',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:101::1'' on 'e1c1',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ping -6 -q -n -c 1 fd00:0:10::10' on 'e1c1',False,"The exit code of the command differs from the expected one.
 Actual: 2
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:101::12/64'' on 'e1c2',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:101::1'' on 'e1c2',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ping -6 -q -n -c 1 fd00:0:10::10' on 'e1c2',False,"The exit code of the command differs from the expected one.
 Actual: 2
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:102::11/64'' on 'e2c1',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:102::1'' on 'e2c1',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ping -6 -q -n -c 1 fd00:0:10::10' on 'e2c1',False,"The exit code of the command differs from the expected one.
 Actual: 2
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:102::12/64'' on 'e2c2',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:102::1'' on 'e2c2',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ping -6 -q -n -c 1 fd00:0:10::10' on 'e2c2',False,"The exit code of the command differs from the expected one.
 Actual: 2
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:103::11/64'' on 'e3c1',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:103::1'' on 'e3c1',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ping -6 -q -n -c 1 fd00:0:10::10' on 'e3c1',False,"The exit code of the command differs from the expected one.
 Actual: 2
 Expected: 0"
Checking the exit code of the command 'ip -6 addr show dev eth0 | grep -Fq 'fd00:0:103::12/64'' on 'e3c2',False,"The exit code of the command differs from the expected one.
 Actual: 255
 Expected: 0"
Checking the exit code of the command 'ip -6 route show default | grep -Fq 'via fd00:0:103::1'' on 'e3c2',False,"The exit code of the command differs from the expected one.
 Actual: 1
 Expected: 0"
Checking the exit code of the command 'ping -6 -q -n -c 1 fd00:0:10::10' on 'e3c2',False,"The exit code of the command differs from the expected one.
 Actual: 2
 Expected: 0"
