Test Description,Passed,Reason
Verifying `kathara.org` reachable from device `client`,False,ping: kathara.org: Temporary failure in name resolution
Checking the routing table of r1,False,"The routing table of r1 about route 10.10.23.0/30 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r1,False,"The routing table of r1 about route 10.10.3.0/24 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r1,False,"The routing table of r1 about route 10.10.34.0/30 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r1,False,"The routing table of r1 about route 10.10.4.0/24 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r1,False,"The routing table of r1 about route 10.10.45.0/30 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r1,False,"The routing table of r1 about route 10.10.5.0/24 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r2,False,"The routing table of r2 have the wrong number of routes: 1, expected: 6"
Checking the routing table of r2,False,"The routing table of r2 about route 10.10.1.0/24 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r2,False,The routing table of r2 is missing route 10.10.3.0/24
Checking the routing table of r2,False,The routing table of r2 is missing route 10.10.34.0/30
Checking the routing table of r2,False,The routing table of r2 is missing route 10.10.4.0/24
Checking the routing table of r2,False,The routing table of r2 is missing route 10.10.45.0/30
Checking the routing table of r2,False,The routing table of r2 is missing route 10.10.5.0/24
Checking the routing table of r3,False,"The routing table of r3 have the wrong number of routes: 2, expected: 5"
Checking the routing table of r3,False,"The routing table of r3 about route 10.10.1.0/24 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r3,False,"The routing table of r3 about route 10.10.12.0/30 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r3,False,The routing table of r3 is missing route 10.10.4.0/24
Checking the routing table of r3,False,The routing table of r3 is missing route 10.10.45.0/30
Checking the routing table of r3,False,The routing table of r3 is missing route 10.10.5.0/24
Checking the routing table of r4,False,"The routing table of r4 have the wrong number of routes: 1, expected: 5"
Checking the routing table of r4,False,The routing table of r4 is missing route 10.10.1.0/24
Checking the routing table of r4,False,The routing table of r4 is missing route 10.10.12.0/30
Checking the routing table of r4,False,The routing table of r4 is missing route 10.10.23.0/30
Checking the routing table of r4,False,The routing table of r4 is missing route 10.10.3.0/24
Checking the routing table of r4,False,"The routing table of r4 about route 10.10.5.0/24 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r5,False,"The routing table of r5 about route 10.10.1.0/24 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r5,False,"The routing table of r5 about route 10.10.12.0/30 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r5,False,"The routing table of r5 about route 10.10.23.0/30 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r5,False,"The routing table of r5 about route 10.10.3.0/24 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r5,False,"The routing table of r5 about route 10.10.34.0/30 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of r5,False,"The routing table of r5 about route 10.10.4.0/24 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of client,False,"The routing table of client about route 0.0.0.0/0 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of localdns,False,"The routing table of localdns about route 0.0.0.0/0 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of orgdns,False,"The routing table of orgdns about route 0.0.0.0/0 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of rootdns,False,"The routing table of rootdns about route 0.0.0.0/0 have the wrong number of next-hops: 1, expected: 2"
Checking the routing table of web,False,"The routing table of web about route 0.0.0.0/0 have the wrong number of next-hops: 1, expected: 2"
Checking correctness of DNS records,False,"client resolve A kathara.org with IP ;; communications error to 10.10.1.53#53: connection refused
;; communications error to 10.10.1.53#53: connection refused
;; communications error to 10.10.1.53#53: connection refused
;; no servers could be reached instead of ['10.10.4.80']"
