experiment_id,prompt_file,variant,status,checker_completed,total_tests,passed_tests,failed_tests,pass_percentage,generation_duration_seconds,checker_duration_seconds,correction_sha256,error
All_Routes_Explicit_No_Default_Routes_IPv4,"All Routes Explicit, No Default Routes, IPv4.md",with_skill,passed,True,185,185,0,100.0,160.4689793339994,22.27879154099992,d62ee6040003d573fa4fa3a99a2b643069f7dc3b03a8b05c2b2ec82c5b1fd398,
All_Routes_Explicit_No_Default_Routes_IPv4,"All Routes Explicit, No Default Routes, IPv4.md",without_skill,error,False,,,,,102.67671733299994,0.3855138330000045,1f1b9d2eb8f804b73bae63c7671baf83d74f365d36732c3982e7bf7a147fd6a0,kathara-lab-checker exited with technical return code 1
Authoritative_DNS_for_Multiple_Domains_IPv4,"Authoritative DNS for Multiple Domains, IPv4.md",with_skill,passed,True,86,86,0,100.0,115.99891591699998,22.8891856249993,757259e4053ef28cd0b24579dcb4087c6d759de70882a562692d6842f2f3e322,
Authoritative_DNS_for_Multiple_Domains_IPv4,"Authoritative DNS for Multiple Domains, IPv4.md",without_skill,error,False,,,,,116.03254945800018,0.3980285420002474,143007608af0ddfb847e373a9c5004e8629a41a78c272472b91e3a3a0a9ccb70,kathara-lab-checker exited with technical return code 1
Central_Web_Server_IPv4_Three_Routers,"Central Web Server, IPv4, Three Routers.md",with_skill,passed,True,58,58,0,100.0,108.43056774999968,17.648169332999714,b49ce77a6f17b8d98f09ea1235a0fcd1b9910060972a76bebb867a6b8178a789,
Central_Web_Server_IPv4_Three_Routers,"Central Web Server, IPv4, Three Routers.md",without_skill,error,False,,,,,80.34710774999985,0.327737332999277,af9be1936cfd5071fbf6d65a80e1f92316d6997024f3afe8eebde53ecd7285f2,kathara-lab-checker exited with technical return code 1
Client_Reaches_Web_Server_by_Name_IPv4_Simple_DNS,"Client Reaches Web Server by Name, IPv4, Simple DNS.md",with_skill,passed,True,38,38,0,100.0,68.12721049999982,20.37152574999982,342fb58da42117d528b019cc9536704d926776d677ed26601f0cf59108fa67e8,
Client_Reaches_Web_Server_by_Name_IPv4_Simple_DNS,"Client Reaches Web Server by Name, IPv4, Simple DNS.md",without_skill,error,False,,,,,127.94748925000022,0.36457837499983725,ef27aa28aa86d48659d4a6f48bc659467c17e9aa4c6de79e77c040648d8ac7d6,kathara-lab-checker exited with technical return code 1
Complete_Routing_DNS_and_Web_Lab_IPv4_Six_Routers,"Complete Routing, DNS, and Web Lab, IPv4, Six Routers.md",with_skill,passed,True,115,115,0,100.0,187.76526958400063,26.103936708999754,7090ef6760d9ce87b3e215dd17cff3f8ad27fa29508af5b726e23022345c5727,
Complete_Routing_DNS_and_Web_Lab_IPv4_Six_Routers,"Complete Routing, DNS, and Web Lab, IPv4, Six Routers.md",without_skill,failed,True,115,106,9,92.173913,161.88739312500002,100.69229470800019,32abc197675d09f440561a2b53d6ad799c2d4d37ff4f3f397a0a8282f5eb4e79,
Default_Routes_on_Edge_Routers_IPv4_Line_Topology,"Default Routes on Edge Routers, IPv4, Line Topology.md",with_skill,failed,True,136,66,70,48.529412,95.61489716699998,168.09186795799997,f00efb41b9e9c2f4c26ba88b251ece679d4f93797329c0b890eb5726568c5928,
Default_Routes_on_Edge_Routers_IPv4_Line_Topology,"Default Routes on Edge Routers, IPv4, Line Topology.md",without_skill,error,False,,,,,57.95911187500042,0.42929883299984795,047500dcbc48cf13d269ce52a4b2b683b7d0a874dbde20fb2a9fc65c3dda1eb8,kathara-lab-checker exited with technical return code 1
