Test Description,Passed,Reason
Check existence of `r1`,True,OK
Check existence of `r2`,True,OK
Check existence of `r3`,True,OK
Check existence of `r4`,True,OK
Check existence of `r5`,True,OK
Check existence of `client`,True,OK
Check existence of `dnsroot`,True,OK
Check existence of `dnsorg`,True,OK
Check existence of `dnslocal`,True,OK
Check existence of `server`,True,OK
Checking the collision domain attached to interface `eth0` of `r1`,True,OK
Checking the collision domain attached to interface `eth1` of `r1`,True,OK
Checking the collision domain attached to interface `eth2` of `r1`,True,OK
Checking the collision domain attached to interface `eth3` of `r1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2`,True,OK
Checking the collision domain attached to interface `eth1` of `r2`,True,OK
Checking the collision domain attached to interface `eth2` of `r2`,True,OK
Checking the collision domain attached to interface `eth0` of `r3`,True,OK
Checking the collision domain attached to interface `eth1` of `r3`,True,OK
Checking the collision domain attached to interface `eth2` of `r3`,True,OK
Checking the collision domain attached to interface `eth0` of `r4`,True,OK
Checking the collision domain attached to interface `eth1` of `r4`,True,OK
Checking the collision domain attached to interface `eth2` of `r4`,True,OK
Checking the collision domain attached to interface `eth0` of `r5`,True,OK
Checking the collision domain attached to interface `eth1` of `r5`,True,OK
Checking the collision domain attached to interface `eth2` of `r5`,True,OK
Checking the collision domain attached to interface `eth3` of `r5`,True,OK
Checking the collision domain attached to interface `eth0` of `client`,True,OK
Checking the collision domain attached to interface `eth0` of `dnsroot`,True,OK
Checking the collision domain attached to interface `eth0` of `dnsorg`,True,OK
Checking the collision domain attached to interface `eth0` of `dnslocal`,True,OK
Checking the collision domain attached to interface `eth0` of `server`,True,OK
Check existence of `r1.startup` file,True,OK
Check existence of `r2.startup` file,True,OK
Check existence of `r3.startup` file,True,OK
Check existence of `r4.startup` file,True,OK
Check existence of `r5.startup` file,True,OK
Check existence of `client.startup` file,True,OK
Check existence of `dnsroot.startup` file,True,OK
Check existence of `dnsorg.startup` file,True,OK
Check existence of `dnslocal.startup` file,True,OK
Check existence of `server.startup` file,True,OK
Verifying the IP address (10.0.12.1/30) assigned to eth0 of r1,True,OK
Verifying the IP address (10.0.13.1/30) assigned to eth1 of r1,True,OK
Verifying the IP address (10.0.14.1/30) assigned to eth2 of r1,True,OK
Verifying the IP address (10.10.1.1/24) assigned to eth3 of r1,True,OK
Verifying the IP address (10.0.12.2/30) assigned to eth0 of r2,True,OK
Verifying the IP address (10.0.25.1/30) assigned to eth1 of r2,True,OK
Verifying the IP address (10.10.2.1/24) assigned to eth2 of r2,True,OK
Verifying the IP address (10.0.13.2/30) assigned to eth0 of r3,True,OK
Verifying the IP address (10.0.35.1/30) assigned to eth1 of r3,True,OK
Verifying the IP address (10.10.3.1/24) assigned to eth2 of r3,True,OK
