Test Description,Passed,Reason
Check existence of `r1`,True,OK
Check existence of `r2`,True,OK
Check existence of `r3`,True,OK
Check existence of `pc1_1`,True,OK
Check existence of `pc1_2`,True,OK
Check existence of `pc1_3`,True,OK
Check existence of `pc1_4`,True,OK
Check existence of `pc1_5`,True,OK
Check existence of `pc2_1`,True,OK
Check existence of `pc2_2`,True,OK
Check existence of `pc2_3`,True,OK
Check existence of `pc2_4`,True,OK
Check existence of `pc2_5`,True,OK
Check existence of `pc3_1`,True,OK
Check existence of `pc3_2`,True,OK
Check existence of `pc3_3`,True,OK
Check existence of `pc3_4`,True,OK
Check existence of `pc3_5`,True,OK
Checking the collision domain attached to interface `eth0` of `r1`,True,OK
Checking the collision domain attached to interface `eth1` of `r1`,True,OK
Checking the collision domain attached to interface `eth0` of `r2`,True,OK
Checking the collision domain attached to interface `eth1` of `r2`,True,OK
Checking the collision domain attached to interface `eth2` of `r2`,True,OK
Checking the collision domain attached to interface `eth0` of `r3`,True,OK
Checking the collision domain attached to interface `eth1` of `r3`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1_1`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1_2`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1_3`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1_4`,True,OK
Checking the collision domain attached to interface `eth0` of `pc1_5`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2_1`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2_2`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2_3`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2_4`,True,OK
Checking the collision domain attached to interface `eth0` of `pc2_5`,True,OK
Checking the collision domain attached to interface `eth0` of `pc3_1`,True,OK
Checking the collision domain attached to interface `eth0` of `pc3_2`,True,OK
Checking the collision domain attached to interface `eth0` of `pc3_3`,True,OK
Checking the collision domain attached to interface `eth0` of `pc3_4`,True,OK
Checking the collision domain attached to interface `eth0` of `pc3_5`,True,OK
Check existence of `r1.startup` file,True,OK
Check existence of `r2.startup` file,True,OK
Check existence of `r3.startup` file,True,OK
Check existence of `pc1_1.startup` file,True,OK
Check existence of `pc1_2.startup` file,True,OK
Check existence of `pc1_3.startup` file,True,OK
Check existence of `pc1_4.startup` file,True,OK
Check existence of `pc1_5.startup` file,True,OK
Check existence of `pc2_1.startup` file,True,OK
Check existence of `pc2_2.startup` file,True,OK
Check existence of `pc2_3.startup` file,True,OK
Check existence of `pc2_4.startup` file,True,OK
Check existence of `pc2_5.startup` file,True,OK
Check existence of `pc3_1.startup` file,True,OK
Check existence of `pc3_2.startup` file,True,OK
Check existence of `pc3_3.startup` file,True,OK
Check existence of `pc3_4.startup` file,True,OK
